world500_rank,company_id,company_name_en,company_name_zh,industry_section_code,industry_section_zh,report_match_class,scope3_category_code,scope3_category_en,scope3_category_zh,screening_status_current,reported_value_mtco2e,candidate_count_for_category,verification_status,evidence_page,source_file,source_path,reviewer_screening_status,reviewer_reported_value_mtco2e,reviewer_evidence_page,reviewer_note_zh
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
3,r003_stategrid,STATE GRID,国家电网有限公司,D,电力、热力、燃气及水生产和供应业,unmatched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
4,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,B,采矿业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
5,r005_sinopecgroup,SINOPEC GROUP,中国石油化工集团有限公司,C,制造业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
6,r006_chinanationalpetroleum,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,B,采矿业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
7,r007_apple,APPLE,苹果公司,C,制造业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,reported_value_candidate,,1,review_required,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,reported_value_candidate,0.5213369999999999,1,rule_checked_category_value,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
8,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,J,金融业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
9,r009_berkshirehathaway,BERKSHIRE HATHAWAY,伯克希尔－哈撒韦公司,J,金融业,unmatched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,2,Category 2 Capital goods,类别2 资本货物,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,3,Category 3 Fuel- and energy-related activities,类别3 燃料和能源相关活动,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,4,Category 4 Upstream transportation and distribution,类别4 上游运输和配送,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,5,Category 5 Waste generated in operations,类别5 运营中产生的废弃物,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,6,Category 6 Business travel,类别6 商务差旅,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,7,Category 7 Employee commuting,类别7 员工通勤,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,8,Category 8 Upstream leased assets,类别8 上游租赁资产,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,9,Category 9 Downstream transportation and distribution,类别9 下游运输和配送,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,10,Category 10 Processing of sold products,类别10 已售产品加工,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,11,Category 11 Use of sold products,类别11 销售产品的使用,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,12,Category 12 End-of-life treatment of sold products,类别12 已售产品报废处理,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,13,Category 13 Downstream leased assets,类别13 下游租赁资产,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,14,Category 14 Franchises,类别14 特许经营,not_assessed,,0,,,,,,,,
10,r010_cvshealth公司,CVS Health,CVS Health,F,批发和零售业,matched,15,Category 15 Investments,类别15 投资,not_assessed,,0,,,,,,,,
11,r011_volkswagen,VOLKSWAGEN,大众公司,C,制造业,matched,1,Category 1 Purchased goods and services,类别1 购买的商品和服务,reported_value_candidate,89572138.0,1,rule_checked_category_value,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2023_Volkswagen_Group_Sustainability_Report.pdf,,,,
